RADIX company_id,FILE TYPE,Blacknight Location,Blacknight Filename,File Suffix,Transfer Company Doc,Target Site Destination Folder,Target Site File Name,name,description
159,Method Statement,/var/www/html/public/uploads/companies/159,19937,.doc,TRANSFER,,MS_GRA_Work type 7_v1__Ducting_TC.doc,MS_GRA_Work type 7_v1__Ducting_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19938,.doc,TRANSFER,,"MS_GRA_Work type 12_v1__Install Cabn, BTS or Other ground equipment_TC.doc","MS_GRA_Work type 12_v1__Install Cabn, BTS or Other ground equipment_TC.doc",
159,Method Statement,/var/www/html/public/uploads/companies/159,19939,.doc,TRANSFER,,MS_GRA_Work type 13_v1__Link Install_TC.doc,MS_GRA_Work type 13_v1__Link Install_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19940,.doc,TRANSFER,,MS_GRA_Work type 14_v1__LOS_TC.doc,MS_GRA_Work type 14_v1__LOS_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19941,.doc,TRANSFER,,MS_GRA_Work type 15_v1__MEWP LOS_TC.doc,MS_GRA_Work type 15_v1__MEWP LOS_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19942,.doc,TRANSFER,,MS_GRA_Work type 18_v1__ODU Fault_TC (1).doc,MS_GRA_Work type 18_v1__ODU Fault_TC (1).doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19943,.doc,TRANSFER,,MS_GRA_Work type 19_v1__Ducting Underground_TC.doc,MS_GRA_Work type 19_v1__Ducting Underground_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19944,.doc,TRANSFER,,MS_GRA_Work type 20_v1__Panning Equipment_TC.doc,MS_GRA_Work type 20_v1__Panning Equipment_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19945,.doc,TRANSFER,,MS_GRA_Work type 22_v1__Relocate Equipment_TC (1).doc,MS_GRA_Work type 22_v1__Relocate Equipment_TC (1).doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19946,.doc,TRANSFER,,MS_GRA_Work type 22_v1__Relocate Equipment_TC.doc,MS_GRA_Work type 22_v1__Relocate Equipment_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19947,.doc,TRANSFER,,MS_GRA_Work type 23_v1__Remove Antenna.Equipment_TC.doc,MS_GRA_Work type 23_v1__Remove Antenna.Equipment_TC.doc,
