Site ID,Site Name,Blackknight Location,Filename,Target Site Destination Folder,Target Site File Name
TKE1019,Dunmurry Hill,/var/www/html/public/uploads/sites/Dunmurry Hill - TKE1019/Licence Maps/,Dunmurry Hill - TKE1019 - TCF01 - Rev 1.0.pdf,,Dunmurry Hill - TKE1019 - TCF01 - Rev 1.0.pdf
TCK2017,Elfordstown,/var/www/html/public/uploads/sites/Elfordstown - TCK2017/Licence Maps/,Elfordstown - TCK2017 - TCF01 - Rev 1.0.pdf,,Elfordstown - TCK2017 - TCF01 - Rev 1.0.pdf
TWX2018,Enniscorthy,/var/www/html/public/uploads/sites/Enniscorthy - TWX2018/Licence Maps/,Enniscorthy - TWX2018 - TCF01 - Rev 1.0.pdf,,Enniscorthy - TWX2018 - TCF01 - Rev 1.0.pdf
TCK2019,Fermoy,/var/www/html/public/uploads/sites/Fermoy - TCK2019/Licence Maps/,Fermoy - TCK2019 - TCF01 - Rev 1.0.pdf,,Fermoy - TCK2019 - TCF01 - Rev 1.0.pdf
TMH1020,Fourknocks,/var/www/html/public/uploads/sites/Fourknocks - TMH1020/Licence Maps/,Fourknocks - TMH1020 - TCF01 - Rev 1.0.pdf,,Fourknocks - TMH1020 - TCF01 - Rev 1.0.pdf
TWD2020,Gallows Hill,/var/www/html/public/uploads/sites/Gallows Hill - TWD2020/Licence Maps/,Gallows Hill - TWD2020 - TCF01 - Rev 1.0.pdf,,Gallows Hill - TWD2020 - TCF01 - Rev 1.0.pdf
TTP1021,Glengoole,/var/www/html/public/uploads/sites/Glengoole 48m - TTP1021/Licence Maps/,Glengoole - TTP1021 - TCF01 - Rev 1.0.pdf,,Glengoole - TTP1021 - TCF01 - Rev 1.0.pdf
TWW3008,Glenteige,/var/www/html/public/uploads/sites/Glenteige - TWW3008/Licence Maps/,Glenteige - TWW3008 - TCF01 - Rev 1.0.pdf,,Glenteige - TWW3008 - TCF01 - Rev 1.0.pdf
TDL2021,Glenties,/var/www/html/public/uploads/sites/Glenties - TDL2021/Licence Maps/,Glenties - TDL2021 - TCF01 - Rev 1.0.pdf,,Glenties - TDL2021 - TCF01 - Rev 1.0.pdf
TKY1022,Inchee,/var/www/html/public/uploads/sites/Inchee - TKY1022/Licence Maps/,Inchee - TKY1022 - TCF01 - Rev 1.0.pdf,,Inchee - TKY1022 - TCF01 - Rev 1.0.pdf
